0.00598156 0.00598156   0.999982 
  0.011752  0.0117518   0.999931 
 0.0173943  0.0173935   0.999849 
  0.022958  0.0229561   0.999736 
  0.028473  0.0284694   0.999595 
  0.033958  0.0339516   0.999423 
 0.0394241  0.0394141   0.999223 
 0.0448786  0.0448637   0.998993 
 0.0503257  0.0503048   0.998734 
 0.0557683  0.0557397   0.998445 
 0.0612081  0.0611702   0.998127 
 0.0666461  0.0665971    0.99778 
  0.072083  0.0720209   0.997403 
 0.0775191  0.0774419   0.996997 
 0.0829549  0.0828602   0.996561 
 0.0883904  0.0882758   0.996096 
 0.0938257  0.0936885   0.995602 
 0.0992609  0.0990984   0.995078 
  0.104696   0.104505   0.994524 
  0.110131   0.109909   0.993942 
  0.115566    0.11531    0.99333 
  0.121001   0.120707   0.992688 
  0.126436     0.1261   0.992018 
  0.131871    0.13149   0.991317 
  0.137306   0.136876   0.990588 
  0.142741   0.142258    0.98983 
  0.148176   0.147635   0.989042 
  0.153611   0.153009   0.988225 
  0.159046   0.158378   0.987379 
  0.164481   0.163742   0.986503 
  0.169916   0.169101   0.985599 
  0.175351   0.174455   0.984665 
  0.180787   0.179804   0.983702 
  0.186222   0.185148   0.982711 
  0.191657   0.190486    0.98169 
  0.197092   0.195819    0.98064 
  0.202527   0.201146   0.979561 
  0.207962   0.206467   0.978454 
  0.213397   0.211782   0.977317 
  0.218832    0.21709   0.976152 
  0.224267   0.222393   0.974957 
  0.229702   0.227688   0.973734 
  0.235137   0.232977   0.972482 
  0.240572   0.238259   0.971202 
  0.246007   0.243534   0.969892 
  0.251442   0.248802   0.968554 
  0.256877   0.254062   0.967188 
  0.262312   0.259315   0.965793 
  0.267747   0.264561   0.964369 
  0.273182   0.269798   0.962917 
  0.278617   0.275028   0.961436 
  0.284052   0.280249   0.959927 
  0.289487   0.285462    0.95839 
  0.294922   0.290667   0.956824 
  0.300357   0.295863    0.95523 
  0.305792    0.30105   0.953608 
  0.311227   0.306228   0.951958 
  0.316662   0.311398    0.95028 
  0.322097   0.316558   0.948573 
  0.327532   0.321709   0.946839 
  0.332967    0.32685   0.945076 
  0.338402   0.331982   0.943286 
  0.343837   0.337104   0.941468 
  0.349272   0.342216   0.939621 
  0.354707   0.347318   0.937748 
  0.360142   0.352409   0.935846 
  0.365577    0.35749   0.933917 
  0.371012   0.362561    0.93196 
  0.376447   0.367621   0.929976 
  0.381882    0.37267   0.927964 
  0.387317   0.377708   0.925925 
  0.392752   0.382735   0.923858 
  0.398187    0.38775   0.921765 
  0.403622   0.392754   0.919644 
  0.409057   0.397747   0.917495 
  0.414493   0.402727    0.91532 
  0.419928   0.407696   0.913118 
  0.425363   0.412653   0.910888 
  0.430798   0.417598   0.908632 
  0.436233    0.42253   0.906349 
  0.441668    0.42745   0.904039 
  0.447103   0.432357   0.901703 
  0.452538   0.437251   0.899339 
  0.457973   0.442133    0.89695 
  0.463408   0.447001   0.894533 
  0.468843   0.451856   0.892091 
  0.474278   0.456698   0.889622 
  0.479713   0.461527   0.887126 
  0.485148   0.466341   0.884605 
  0.490583   0.471142   0.882057 
  0.496018   0.475929   0.879484 
  0.501453   0.480702   0.876884 
  0.506888   0.485461   0.874258 
  0.512323   0.490205   0.871607 
  0.517758   0.494935    0.86893 
  0.523193   0.499651   0.866227 
  0.528628   0.504351   0.863499 
  0.534063   0.509037   0.860745 
  0.539498   0.513708   0.857965 
  0.544933   0.518363   0.855161 
  0.550368   0.523003   0.852331 
  0.555803   0.527628   0.849476 
  0.561238   0.532237   0.846595 
  0.566673   0.536831    0.84369 
  0.572108   0.541408    0.84076 
  0.577543    0.54597   0.837805 
  0.582978   0.550515   0.834825 
  0.588413   0.555044   0.831821 
  0.593848   0.559557   0.828792 
  0.599283   0.564053   0.825738 
  0.604718   0.568533   0.822661 
  0.610153   0.572996   0.819558 
  0.615588   0.577441   0.816432 
  0.621023    0.58187   0.813282 
  0.626458   0.586282   0.810107 
  0.631893   0.590676   0.806909 
  0.637328   0.595053   0.803686 
  0.642763   0.599412    0.80044 
  0.648199   0.603754   0.797171 
  0.653634   0.608078   0.793878 
  0.659069   0.612383   0.790561 
  0.664504   0.616671   0.787221 
  0.669939    0.62094   0.783858 
  0.675374   0.625192   0.780471 
  0.680809   0.629424   0.777062 
  0.686244   0.633638   0.773629 
  0.691679   0.637834   0.770174 
  0.697114    0.64201   0.766696 
  0.702549   0.646168   0.763196 
  0.707984   0.650306   0.759672 
  0.713419   0.654425   0.756127 
  0.718854   0.658525   0.752559 
  0.724289   0.662606   0.748968 
  0.729724   0.666667   0.745356 
  0.735159   0.670708   0.741722 
  0.740594   0.674729   0.738066 
  0.746029   0.678731   0.734387 
  0.751464   0.682712   0.730688 
  0.756899   0.686673   0.726966 
  0.762334   0.690614   0.723224 
  0.767769   0.694535   0.719459 
  0.773204   0.698435   0.715674 
  0.778639   0.702314   0.711867 
  0.784074   0.706173    0.70804 
  0.789509    0.71001   0.704191 
  0.794944   0.713827   0.700322 
  0.800379   0.717623   0.696432 
  0.805814   0.721397   0.692521 
  0.811249   0.725151    0.68859 
  0.816684   0.728882   0.684639 
  0.822119   0.732593   0.680667 
  0.827554   0.736281   0.676676 
  0.832989   0.739948   0.672664 
  0.838424   0.743593   0.668632 
  0.843859   0.747216   0.664581 
  0.849294   0.750817    0.66051 
  0.854729   0.754396    0.65642 
  0.860164   0.757953    0.65231 
  0.865599   0.761487   0.648181 
  0.871034   0.764998   0.644032 
  0.876469   0.768487   0.639865 
  0.881904   0.771954   0.635679 
   0.88734   0.775397   0.631474 
  0.892775   0.778818    0.62725 
   0.89821   0.782215   0.623008 
  0.903645    0.78559   0.618747 
   0.90908   0.788941   0.614469 
  0.914515   0.792269   0.610172 
   0.91995   0.795574   0.605857 
  0.925385   0.798855   0.601524 
   0.93082   0.802112   0.597173 
  0.936255   0.805346   0.592805 
   0.94169   0.808556   0.588419 
  0.947125   0.811742   0.584016 
   0.95256   0.814905   0.579595 
  0.957995   0.818043   0.575158 
   0.96343   0.821157   0.570703 
  0.968865   0.824246   0.566232 
    0.9743   0.827312   0.561743 
  0.979735   0.830352   0.557239 
   0.98517   0.833369   0.552717 
  0.990605    0.83636    0.54818 
   0.99604   0.839327   0.543626 
   1.00148    0.84227   0.539056 
   1.00691   0.845187   0.534471 
   1.01235   0.848079   0.529869 
   1.01778   0.850947   0.525252 
   1.02322   0.853789   0.520619 
   1.02865   0.856606   0.515971 
   1.03409   0.859398   0.511308 
   1.03952   0.862164    0.50663 
   1.04496   0.864905   0.501936 
   1.05039    0.86762   0.497228 
   1.05583    0.87031   0.492505 
   1.06126   0.872973   0.487768 
    1.0667   0.875612   0.483016 
   1.07213   0.878224    0.47825 
   1.07757    0.88081    0.47347 
     1.083   0.883371   0.468675 
   1.08844   0.885905   0.463867 
   1.09387   0.888413   0.459046 
   1.09931   0.890895    0.45421 
   1.10474    0.89335   0.449361 
   1.11018   0.895779   0.444499 
   1.11561   0.898182   0.439624 
   1.12105   0.900558   0.434736 
   1.12648   0.902907   0.429835 
   1.13192    0.90523   0.424922 
   1.13735   0.907526   0.419995 
   1.14279   0.909796   0.415057 
   1.14822   0.912038   0.410106 
   1.15366   0.914253   0.405143 
   1.15909   0.916442   0.400168 
   1.16453   0.918603   0.395181 
   1.16996   0.920738   0.390183 
    1.1754   0.922845   0.385173 
   1.18083   0.924924   0.380151 
   1.18627   0.926977   0.375119 
    1.1917   0.929002   0.370075 
   1.19714      0.931    0.36502 
   1.20257    0.93297   0.359955 
   1.20801   0.934912   0.354879 
   1.21344   0.936827   0.349792 
   1.21888   0.938715   0.344696 
   1.22431   0.940574   0.339588 
   1.22975   0.942406   0.334471 
   1.23518    0.94421   0.329344 
   1.24062   0.945986   0.324208 
   1.24605   0.947734   0.319062 
   1.25149   0.949454   0.313906 
   1.25692   0.951146   0.308741 
   1.26236    0.95281   0.303567 
   1.26779   0.954446   0.298384 
   1.27323   0.956054   0.293192 
   1.27866   0.957633   0.287992 
    1.2841   0.959184   0.282783 
   1.28953   0.960707   0.277565 
   1.29497   0.962201    0.27234 
    1.3004   0.963667   0.267106 
   1.30584   0.965105   0.261864 
   1.31127   0.966514   0.256615 
   1.31671   0.967894   0.251358 
   1.32214   0.969246   0.246094 
   1.32758   0.970569   0.240823 
   1.33301   0.971864   0.235544 
   1.33845    0.97313   0.230258 
   1.34388   0.974367   0.224966 
   1.34932   0.975575   0.219667 
   1.35475   0.976754   0.214362 
   1.36019   0.977905    0.20905 
   1.36562   0.979027   0.203732 
   1.37106    0.98012   0.198408 
   1.37649   0.981183   0.193078 
   1.38193   0.982218   0.187742 
   1.38736   0.983224   0.182401 
    1.3928   0.984201   0.177054 
   1.39823   0.985149   0.171703 
   1.40367   0.986068   0.166346 
    1.4091   0.986957   0.160984 
   1.41454   0.987817   0.155618 
   1.41997   0.988649   0.150246 
   1.42541   0.989451   0.144871 
   1.43084   0.990223   0.139491 
   1.43628   0.990967   0.134107 
   1.44171   0.991681   0.128719 
   1.44715   0.992366   0.123327 
   1.45258   0.993022   0.117932 
   1.45802   0.993648   0.112533 
   1.46345   0.994245   0.107131 
   1.46889   0.994813   0.101726 
   1.47432   0.995351  0.0963175 
   1.47976   0.995859  0.0909063 
   1.48519   0.996339  0.0854925 
   1.49063   0.996789  0.0800761 
   1.49606   0.997209  0.0746573 
    1.5015     0.9976  0.0692364 
   1.50693   0.997962  0.0638133 
   1.51237   0.998294  0.0583885 
    1.5178   0.998597  0.0529618 
   1.52324    0.99887  0.0475337 
   1.52867   0.999113  0.0421041 
   1.53411   0.999327  0.0366733 
   1.53954   0.999512  0.0312414 
   1.54498   0.999667  0.0258085 
   1.55041   0.999792  0.0203749 
   1.55585   0.999888  0.0149407 
   1.56128   0.999955 0.00950609 
